ID_Pedido,Data_Pedido,ID_Cliente,Segmento,Pais,Cidade,Estado,ID_Produto,Categoria,SubCategoria,Valor_Venda
IG-7139-718707,04/11/2024,DR-67908,Consumer,Brazil,Curitiba,PR,CBW-SE-40640391,Office Supplies,Art,125.53
YC-0170-462265,08/01/2025,PW-66182,Home Office,Canada,Vancouver,BC,WBT-DR-12868230,Office Supplies,Paper,83.7
UW-6863-375243,18/01/2025,PN-10690,Home Office,Canada,Montreal,QC,VCZ-CO-11907903,Office Supplies,Art,104.38
XR-3028-439599,03/01/2025,OA-53428,Home Office,Brazil,São Paulo,SP,FDW-PQ-44089268,Office Supplies,Art,93.32
PO-8566-246287,30/08/2023,AA-42708,Corporate,Brazil,São Paulo,SP,PFC-XF-88263435,Furniture,Storage,467.36
UQ-3046-990139,22/12/2024,TA-83735,Home Office,Brazil,Salvador,BA,PJU-XS-33173936,Technology,Copiers,893.5
ZU-7854-458771,28/08/2023,AC-75355,Consumer,Canada,Toronto,ON,UAS-JM-93204899,Furniture,Tables,493.14
DK-3693-785477,23/03/2023,LI-52287,Corporate,Canada,Toronto,ON,OOE-TJ-08010062,Technology,Accessories,862.14
AI-3875-099770,30/06/2020,UR-86008,Consumer,United States,Los Angeles,CA,HJP-MN-84086211,Office Supplies,Art,110.43
SO-4546-156793,23/11/2024,YY-41016,Consumer,Brazil,Belo Horizonte,MG,PYV-KG-87002176,Technology,Accessories,728.47
KQ-0339-740148,28/11/2024,LJ-02503,Corporate,Canada,Toronto,ON,RIV-YW-61429396,Technology,Copiers,694.48
XN-1850-163159,10/08/2021,YC-96504,Consumer,Canada,Vancouver,BC,QYF-XN-73586629,Furniture,Tables,404.99
GF-3114-262655,06/12/2022,GI-04754,Consumer,United States,New York,NY,GBF-WJ-12678886,Technology,Machines,915.0
PK-9956-046618,18/03/2021,RT-82622,Corporate,United States,Los Angeles,CA,TEY-EX-47212646,Furniture,Chairs,424.0
ZV-3799-371240,24/07/2022,BP-96575,Corporate,United States,New York,NY,LZU-SV-92459375,Furniture,Tables,274.13
LI-9356-465193,05/08/2024,CZ-28073,Corporate,United States,Chicago,IL,QJT-BY-41672434,Furniture,Tables,428.89
CY-1797-968868,17/08/2023,XP-58911,Corporate,Brazil,Rio de Janeiro,RJ,GAG-QO-52909656,Office Supplies,Art,102.52
SG-8899-375679,05/10/2024,SA-25071,Corporate,Brazil,Belo Horizonte,MG,HEW-EG-11254573,Technology,Copiers,897.94
VP-7514-010512,23/02/2024,JB-82825,Corporate,Canada,Ottawa,ON,VNM-CL-73622660,Furniture,Chairs,181.03
XU-6033-419182,27/01/2024,HO-37147,Home Office,United States,Los Angeles,CA,WDN-LR-59696915,Office Supplies,Binders,132.66
XS-9912-513412,13/12/2022,IK-28669,Corporate,Brazil,Curitiba,PR,FSI-LU-66278282,Office Supplies,Art,132.76
PF-9050-723688,03/04/2024,KF-67677,Home Office,United States,Miami,FL,SKX-DK-90340438,Furniture,Bookcases,467.94
WU-8819-148580,18/08/2024,VP-78361,Corporate,Canada,Vancouver,BC,HXZ-PN-34074517,Furniture,Bookcases,446.92
WI-5962-923309,02/06/2025,TS-49825,Home Office,Brazil,Curitiba,PR,RPI-SI-49481260,Technology,Accessories,701.69
CE-2536-729466,17/07/2022,DF-16845,Consumer,United States,Houston,TX,ZNB-NF-59017518,Technology,Machines,713.37
CG-5458-929750,14/09/2022,DA-70127,Home Office,Canada,Montreal,QC,QFX-QP-63242415,Furniture,Storage,328.95
EI-0643-611037,29/10/2021,AS-93870,Home Office,Canada,Montreal,QC,FUZ-GG-51627136,Office Supplies,Art,99.61
NP-5426-221890,31/01/2023,AN-27532,Home Office,United States,Chicago,IL,WBU-YI-73112196,Furniture,Tables,326.56
NH-4138-999404,11/07/2022,PD-98364,Home Office,United States,Houston,TX,HAX-UI-37613791,Technology,Accessories,660.76
AQ-9658-271091,16/09/2023,SO-30068,Corporate,Canada,Ottawa,ON,JRF-TF-86661889,Office Supplies,Supplies,113.28
DP-3285-691463,07/10/2024,MD-16179,Corporate,Brazil,Belo Horizonte,MG,WHH-YU-42102027,Furniture,Bookcases,205.07
EQ-2524-105648,16/08/2022,XD-91778,Home Office,Canada,Ottawa,ON,RUH-OV-79252419,Office Supplies,Envelopes,76.31
CJ-0003-075622,29/09/2024,UU-63536,Home Office,United States,Houston,TX,OZH-CZ-41951802,Furniture,Furnishings,294.34
SK-7445-187053,02/01/2021,LF-49375,Home Office,United States,Los Angeles,CA,IWO-SA-38320603,Furniture,Storage,496.36
JT-0641-383670,08/04/2023,AS-41038,Corporate,Canada,Ottawa,ON,ELK-DB-57191826,Furniture,Tables,314.32
EM-3445-655743,13/07/2021,KC-29121,Consumer,Canada,Montreal,QC,TDQ-HF-75618537,Furniture,Tables,232.4
GD-4903-521356,04/10/2021,CJ-44206,Consumer,Brazil,São Paulo,SP,DXO-IM-83171210,Office Supplies,Supplies,64.94
ZI-5199-410137,29/10/2023,DK-15107,Corporate,Brazil,Salvador,BA,WNL-RR-96670662,Technology,Accessories,552.12
ED-2099-934768,18/03/2024,MP-14626,Corporate,Canada,Calgary,AB,YFW-KG-83806578,Office Supplies,Paper,67.16
ZE-6420-593040,26/02/2023,GP-85932,Consumer,Brazil,São Paulo,SP,LLP-LU-34803965,Office Supplies,Paper,131.4
TL-9059-929378,21/06/2023,MO-70103,Corporate,Brazil,Curitiba,PR,VTL-ZU-08705932,Furniture,Furnishings,298.27
LG-0292-185156,04/12/2020,UB-54522,Corporate,Brazil,São Paulo,SP,LYT-US-75289539,Furniture,Bookcases,436.65
ZN-2209-690295,04/12/2022,VV-39172,Home Office,Canada,Ottawa,ON,AQN-PS-13552157,Technology,Machines,575.32
FY-5410-067626,29/12/2020,YK-58617,Home Office,United States,Miami,FL,QGE-VK-32710405,Technology,Copiers,798.58
PK-2181-599706,12/08/2023,VN-96201,Consumer,Canada,Calgary,AB,GDZ-KJ-36884443,Technology,Copiers,463.96
GB-2050-614973,05/08/2024,HT-32417,Consumer,United States,Chicago,IL,XYX-LC-67741862,Technology,Machines,273.6
FQ-4774-349021,18/10/2020,JD-58693,Home Office,Canada,Calgary,AB,TFZ-TC-68687937,Furniture,Storage,299.33
ZM-9899-217223,08/09/2024,MO-20616,Home Office,United States,New York,NY,ZJU-RH-29451168,Office Supplies,Paper,107.26
LL-0998-616229,25/04/2024,IW-11914,Corporate,United States,Chicago,IL,LRZ-JN-64679970,Technology,Phones,758.94
YT-0653-074505,02/11/2023,IT-44713,Consumer,Brazil,Rio de Janeiro,RJ,NAV-FW-75469137,Office Supplies,Paper,125.1
KB-5082-148628,23/10/2024,CD-23303,Consumer,Canada,Vancouver,BC,OHR-BP-05345786,Office Supplies,Envelopes,62.73
QV-7972-798552,03/08/2023,KK-14060,Corporate,United States,Miami,FL,XXR-AE-33334680,Office Supplies,Binders,107.84
WD-2903-494466,18/07/2021,NZ-43748,Corporate,Brazil,Salvador,BA,STR-GE-91085899,Technology,Phones,519.59
DZ-5454-443283,17/12/2020,PF-96520,Corporate,Canada,Calgary,AB,MVU-TO-44666099,Furniture,Storage,539.11
IV-7584-282417,19/12/2024,OW-48251,Corporate,United States,Houston,TX,DHE-DO-34655494,Technology,Accessories,667.12
AD-9917-381684,20/05/2025,KD-22356,Corporate,United States,Los Angeles,CA,ODA-CR-25217525,Office Supplies,Envelopes,139.79
BE-2927-129666,14/03/2022,UX-60083,Corporate,Brazil,Salvador,BA,SWT-IG-05830033,Technology,Copiers,817.28
MH-8942-104478,06/09/2023,WW-56257,Corporate,Canada,Vancouver,BC,UBL-GK-32603323,Furniture,Furnishings,367.13
PB-5064-890901,19/06/2021,HJ-01676,Corporate,Canada,Toronto,ON,QHR-NM-47230461,Technology,Phones,873.15
MM-6189-141173,02/08/2021,SK-48356,Consumer,Brazil,Salvador,BA,AQF-HK-08737530,Office Supplies,Paper,137.61
DD-2181-143744,15/08/2024,ZR-12045,Corporate,Brazil,Belo Horizonte,MG,VWC-NR-56110022,Office Supplies,Paper,72.29
ZA-5521-667467,17/03/2021,GA-21202,Corporate,United States,Chicago,IL,NBR-UI-97972965,Office Supplies,Art,97.14
XV-7167-014508,11/07/2024,HS-99358,Consumer,United States,Chicago,IL,JND-AP-91637562,Office Supplies,Binders,111.66
DG-8772-175354,02/10/2021,FD-38663,Consumer,Canada,Ottawa,ON,FVP-BG-79717751,Office Supplies,Paper,108.61
JN-6088-019948,07/11/2023,DV-75503,Home Office,Canada,Toronto,ON,WQO-AV-89975711,Furniture,Chairs,507.43
GQ-4885-102726,10/06/2023,ND-93316,Consumer,Brazil,Rio de Janeiro,RJ,DQL-GI-35160917,Technology,Accessories,727.48
LU-0808-697829,29/08/2024,UG-21699,Corporate,Brazil,Rio de Janeiro,RJ,CZI-IA-66934654,Technology,Phones,763.54
RI-4858-333945,10/10/2024,WW-28851,Corporate,Canada,Vancouver,BC,ZAH-GB-87996846,Technology,Machines,654.4
SY-2003-424420,29/08/2023,CG-43805,Home Office,United States,Los Angeles,CA,SQD-YY-98386384,Technology,Phones,951.58
WL-5800-439735,18/12/2023,CL-89334,Consumer,Brazil,Belo Horizonte,MG,RJQ-IK-12281606,Technology,Phones,443.62
XO-4057-202590,21/05/2025,WE-94798,Home Office,United States,Miami,FL,AII-ZF-58328182,Office Supplies,Envelopes,60.99
JW-3355-543987,23/05/2023,PN-01573,Consumer,Canada,Vancouver,BC,IUS-BH-93056164,Technology,Accessories,877.59
GK-8877-043581,10/08/2023,QO-88013,Home Office,Brazil,Belo Horizonte,MG,BDT-VC-36138612,Technology,Phones,737.11
YC-1024-819346,28/02/2021,RH-66506,Corporate,Canada,Toronto,ON,GGS-YR-80919015,Technology,Copiers,726.72
OI-9147-660728,25/12/2022,RY-68424,Consumer,Canada,Montreal,QC,KMZ-IJ-50882100,Technology,Machines,870.24
NQ-4353-682223,21/02/2021,WJ-31290,Corporate,Brazil,Salvador,BA,ULF-VW-78141413,Furniture,Bookcases,329.47
NQ-3149-135775,05/07/2021,XZ-49299,Home Office,United States,Houston,TX,RXI-RU-56205336,Furniture,Bookcases,280.45
FR-7775-478129,29/03/2023,UE-28341,Home Office,Brazil,Curitiba,PR,CJQ-II-08099693,Office Supplies,Supplies,133.11
FZ-2563-942788,07/06/2024,RK-58039,Corporate,Canada,Calgary,AB,VUE-WC-82722992,Office Supplies,Supplies,152.28
YE-7314-530385,12/04/2022,TH-70051,Consumer,United States,Chicago,IL,XLP-EH-44989266,Furniture,Storage,366.08
GI-6386-557790,23/07/2022,PR-72318,Corporate,United States,Los Angeles,CA,AZV-UH-32225913,Technology,Copiers,472.93
KL-7739-260302,07/07/2024,JD-22809,Corporate,United States,New York,NY,UUQ-SF-24286990,Office Supplies,Paper,134.65
XL-7977-236929,05/04/2022,DM-98425,Corporate,United States,Los Angeles,CA,MHG-RA-91366210,Office Supplies,Art,94.78
FE-9127-990881,09/09/2021,HA-29806,Home Office,United States,Miami,FL,LZV-WS-50863765,Office Supplies,Supplies,110.42
AQ-1624-731498,26/04/2025,HH-30098,Consumer,Brazil,Curitiba,PR,BPL-QQ-06356512,Furniture,Tables,295.19
EL-6959-463688,23/12/2024,TK-58874,Corporate,Canada,Calgary,AB,NGZ-YV-56213721,Technology,Accessories,703.47
FE-9026-012796,06/02/2025,CU-43519,Home Office,Canada,Calgary,AB,OFC-AM-66984902,Technology,Copiers,799.89
XP-4309-883920,28/10/2024,WQ-02146,Consumer,United States,New York,NY,JSU-JL-66938011,Office Supplies,Paper,59.03
LA-5439-376904,19/05/2023,SV-81818,Corporate,United States,Los Angeles,CA,KEX-PW-18489476,Technology,Machines,789.47
RS-7790-714163,23/04/2023,IA-35658,Home Office,United States,Miami,FL,LEU-WN-43416518,Office Supplies,Envelopes,123.55
MP-4237-333433,19/04/2025,FR-95211,Corporate,Canada,Ottawa,ON,UFK-RF-79080759,Office Supplies,Envelopes,95.39
IC-8463-920867,22/12/2021,HS-85627,Corporate,United States,Chicago,IL,GUX-NQ-87500369,Furniture,Chairs,476.85
BN-8434-795527,04/01/2022,CL-65564,Corporate,Canada,Vancouver,BC,BYM-JZ-92931438,Furniture,Furnishings,450.65
TQ-7026-728857,09/09/2021,SK-89061,Consumer,Canada,Vancouver,BC,XXJ-JZ-03471754,Furniture,Bookcases,551.74
LX-5061-593998,11/08/2022,XV-45587,Home Office,United States,Miami,FL,OZV-AO-71694722,Technology,Machines,899.83
MP-6112-535544,13/04/2025,HC-64759,Corporate,Brazil,Rio de Janeiro,RJ,NKZ-GG-62202341,Furniture,Storage,422.89
JF-7800-681149,17/12/2020,CO-64334,Consumer,Brazil,Belo Horizonte,MG,EDI-RJ-22820055,Technology,Accessories,471.24
TW-2829-979688,15/03/2024,TX-78317,Consumer,United States,New York,NY,WSE-IA-64240082,Technology,Machines,492.58
MA-7406-493085,08/08/2024,TV-86632,Home Office,Canada,Vancouver,BC,WZN-ZS-66341638,Office Supplies,Binders,81.23
OD-4846-312241,24/09/2022,MU-97497,Corporate,Brazil,Curitiba,PR,RIT-CU-02080214,Office Supplies,Envelopes,82.07
XD-3120-735647,27/06/2020,RX-05120,Consumer,United States,Chicago,IL,AHX-TP-61872346,Furniture,Storage,318.44
RT-7303-718376,10/09/2023,HQ-52088,Consumer,United States,New York,NY,OBU-AK-74350313,Office Supplies,Envelopes,124.18
XX-9163-009792,07/10/2022,RN-13271,Home Office,Brazil,Curitiba,PR,FOU-JY-50052812,Technology,Phones,902.26
JS-7306-524077,17/05/2023,IW-87392,Home Office,Brazil,Rio de Janeiro,RJ,JCS-QI-57498218,Office Supplies,Binders,84.02
UU-7086-209593,17/07/2023,RF-18638,Home Office,Brazil,São Paulo,SP,GHQ-EC-82945651,Office Supplies,Supplies,116.14
QF-2031-731096,10/07/2021,XO-89940,Consumer,Canada,Ottawa,ON,XJV-AX-91037170,Technology,Copiers,842.18
GU-9480-141381,30/11/2020,HQ-38633,Corporate,United States,Houston,TX,WRD-SQ-39288619,Technology,Copiers,1043.04
CW-1228-685289,19/01/2024,WO-58556,Home Office,United States,Miami,FL,XJV-QX-65939836,Furniture,Furnishings,356.65
AT-7600-490824,07/04/2024,JG-33504,Consumer,Canada,Toronto,ON,JIQ-XL-89921075,Technology,Accessories,870.62
YE-3441-969315,18/07/2022,PT-27919,Consumer,United States,New York,NY,AHX-OV-09610556,Furniture,Tables,568.84
GS-6048-058925,07/07/2020,WM-32067,Consumer,Canada,Toronto,ON,IVF-EK-98136462,Furniture,Bookcases,394.5
JM-8641-686227,02/11/2020,NV-76938,Corporate,United States,Miami,FL,FHQ-AB-83314659,Office Supplies,Binders,159.36
ZC-5355-904259,11/07/2023,MR-92703,Home Office,Brazil,Belo Horizonte,MG,SAV-SZ-52110392,Office Supplies,Envelopes,140.92
HW-4770-538338,13/05/2021,SS-48792,Corporate,Brazil,Rio de Janeiro,RJ,SMY-SN-06980420,Technology,Accessories,573.0
PY-0701-645104,22/09/2022,FM-36815,Home Office,United States,New York,NY,CPH-TV-81238780,Furniture,Tables,320.52
ZD-6205-554384,02/08/2024,OJ-46084,Consumer,United States,Los Angeles,CA,APK-JB-56216893,Furniture,Tables,440.61
IT-9578-232983,28/01/2023,KU-82629,Home Office,United States,Miami,FL,WUA-AT-18812520,Technology,Machines,502.33
MK-4231-220994,09/03/2024,RB-93933,Corporate,United States,New York,NY,LYF-EI-51728975,Technology,Machines,68.16
EL-3306-046333,23/10/2021,PB-79757,Corporate,Canada,Calgary,AB,MIH-PT-60965699,Technology,Copiers,729.89
JY-8177-038860,29/09/2020,ZT-80347,Home Office,United States,New York,NY,JDP-CF-47264908,Furniture,Bookcases,369.22
LD-1298-266570,04/09/2024,US-93714,Home Office,Canada,Montreal,QC,TYU-YG-21117518,Office Supplies,Binders,100.46
LX-6860-259222,11/10/2021,SO-06447,Home Office,Brazil,Rio de Janeiro,RJ,DFF-IZ-21230940,Technology,Phones,941.16
MM-9733-977671,19/06/2020,OJ-03849,Home Office,Canada,Montreal,QC,CQK-MT-30220502,Furniture,Tables,472.93
YJ-1016-224999,27/03/2023,FX-27950,Home Office,United States,Miami,FL,SEI-HS-45561681,Office Supplies,Art,79.77
UO-5868-339019,02/10/2022,BM-81794,Corporate,Brazil,Curitiba,PR,KFH-UO-54899529,Technology,Copiers,902.73
OY-7293-430107,26/08/2024,CV-13966,Corporate,Brazil,Salvador,BA,TTG-JU-58303441,Office Supplies,Art,94.48
VR-1556-990235,21/06/2020,JO-77027,Consumer,United States,New York,NY,KUR-UJ-78576084,Office Supplies,Envelopes,106.84
YO-0395-512405,22/12/2024,LM-82996,Corporate,Canada,Calgary,AB,PXC-TN-14504617,Technology,Copiers,409.68
ZE-4215-031780,19/11/2024,UH-82357,Corporate,Canada,Toronto,ON,DYT-HH-45218230,Furniture,Storage,297.84
BK-4091-570184,14/06/2020,SR-43533,Consumer,United States,Chicago,IL,HAN-JG-85714224,Office Supplies,Supplies,102.58
KE-3858-542493,16/04/2021,DI-49587,Corporate,Brazil,Curitiba,PR,ZLT-ML-07016016,Office Supplies,Binders,116.19
FZ-9545-381792,18/03/2024,EO-71747,Corporate,Brazil,Curitiba,PR,YUD-FB-32945625,Technology,Copiers,1010.3
IG-7157-724599,22/12/2020,PE-16158,Consumer,Canada,Calgary,AB,PJK-EY-48769639,Furniture,Storage,432.11
QQ-5396-695832,24/12/2020,MD-19719,Corporate,Canada,Vancouver,BC,MGR-MX-58172461,Office Supplies,Envelopes,128.33
CI-5701-329022,23/08/2023,MN-46997,Home Office,Brazil,São Paulo,SP,ANG-ZI-54946519,Technology,Accessories,656.22
